X,Y,CDS
-55.815,100.23,559
-55.839,99.86,592
-55.864,99.49,582
-55.888,99.12,539
-55.913,98.749,580
-55.937,98.38,526
-55.962,98.003,570
-55.987,97.624,519
-56.013,97.242,569
-56.038,96.856,516
-56.064,96.46,539
-56.091,96.053,554
-56.118,95.648,513
-56.144,95.256,532
-56.169,94.876,496
-56.194,94.502,511
-56.22,94.112,539
-56.244,93.742,484
-56.269,93.371,530
-56.294,92.996,483
-56.319,92.624,507
-56.344,92.245,487
-56.369,91.864,484
-56.396,91.46,469
-56.424,91.026,498
-56.451,90.621,458
-56.478,90.22,499
-56.503,89.831,470
-56.53,89.438,458
-56.556,89.041,492
-56.582,88.642,442
-56.611,88.209,482
-56.64,87.773,458
-56.67,87.312,481
-56.7,86.863,471
-56.733,86.372,427
-56.763,85.916,469
-56.793,85.455,441
-56.825,84.978,464
-56.855,84.522,419
-56.885,84.074,451
-56.913,83.645,436
-56.941,83.232,413
-56.969,82.805,448
-56.997,82.381,416
-57.025,81.958,417
-57.053,81.538,438
-57.083,81.086,396
-57.11,80.672,418
-57.137,80.262,421
-57.164,79.86,385
-57.19,79.467,415
-57.215,79.097,400
-57.239,78.727,386
-57.264,78.354,412
-57.29,77.965,389
-57.314,77.594,401
-57.339,77.222,366
-57.364,76.844,391
-57.391,76.437,378
-57.419,76.013,360
-57.448,75.571,384
-57.477,75.135,365
-57.507,74.689,354
-57.536,74.248,371
-57.565,73.816,357
-57.593,73.389,370
-57.619,72.987,340
-57.644,72.612,365
-57.669,72.24,352
-57.693,71.869,339
-57.658,72.237,351
-57.334,73.639,337
-56.768,75.091,341
-55.597,77.158,341
-55.254,77.717,368
-54.876,78.289,339
-54.452,78.885,373
-53.932,79.565,346
-53.365,80.255,354
-52.67,81.042,335
-51.886,81.871,351
-50.959,82.784,340
-50.02,83.648,367
-48.934,84.58,353
-47.818,85.472,367
-46.602,86.376,336
-45.261,87.304,361
-43.822,88.229,361
-42.228,89.177,339
-40.515,90.119,369
-38.677,91.048,354
-36.6,92.007,355
-34.446,92.913,348
-32.186,93.772,371
-29.824,94.579,342
-27.376,95.323,375
-24.803,96.008,370
-22.151,96.618,356
-19.382,97.156,395
-16.47,97.618,376
-13.392,97.999,377
-10.194,98.283,404
-6.803,98.468,368
-3.318,98.538,394
0.288,98.487,395
4.094,98.302,365
8.051,97.973,392
12.152,97.491,381
16.357,96.85,359
20.615,96.051,350
25.273,95.002,383
29.787,93.821,377
34.369,92.453,388
39.029,90.884,390
43.654,89.147,369
48.323,87.206,378
53.002,85.068,377
57.641,82.748,376
62.221,80.259,339
66.791,77.567,358
71.444,74.601,335
75.97,71.494,367
80.767,67.939,368
85.385,64.26,341
85.684,64.036,332
87.414,63.046,327
87.096,63.233,331
85.191,64.485,317
84.665,64.858,328
80.701,69.057,349
79.971,69.886,326
79.21,70.813,365
78.419,71.847,347
77.629,72.957,367
76.823,74.176,388
75.983,75.547,357
75.112,77.085,392
74.267,78.707,367
73.497,80.317,399
72.748,82.031,428
72.033,83.837,426
70.273,97.854,549
73.255,118.929,702
73.945,122.609,709
74.886,126.607,712
76.033,130.656,718
77.497,135.038,732
77.38,134.688,977
77.026,133.37,991
76.708,131.706,1023
76.392,130.048,865
76.131,128.679,861
76.057,128.294,777
75.979,127.885,869
75.624,126.021,710
75.244,124.029,699
75.139,123.481,695
75.036,122.939,744
74.931,122.391,645
74.528,120.279,691
74.422,119.72,618
74.312,119.147,681
74.21,118.609,610
74.112,118.096,603
74.016,117.595,654
73.925,117.115,566
73.839,116.663,599
73.759,116.247,569
73.686,115.862,617
73.615,115.492,540
73.545,115.124,598
73.475,114.759,557
73.405,114.388,528
73.327,113.981,577
73.253,113.595,526
73.18,113.209,517
73.102,112.801,560
73.022,112.383,489
72.944,111.972,536
72.867,111.568,508
72.797,111.204,481
72.728,110.839,529
72.658,110.475,478
72.589,110.111,475
72.519,109.747,511
72.261,108.392,487
72.189,108.014,431
72.117,107.64,445
72.047,107.27,453
71.791,105.93,398
71.721,105.564,441
71.466,104.225,380
71.396,103.86,396
71.325,103.49,372
71.068,102.142,397
70.987,101.713,348
70.911,101.317,374
70.841,100.952,370
70.772,100.587,337
70.702,100.221,372
70.632,99.856,343
70.563,99.492,331
70.493,99.128,361
70.424,98.764,318
70.354,98.397,344
70.098,97.055,304
69.842,95.716,305
69.585,94.368,267
69.516,94.003,293
69.257,92.649,282
69.187,92.28,256
69.117,91.913,266
69.047,91.546,245
68.976,91.173,264
68.906,90.809,239
68.835,90.434,263
68.765,90.07,235
68.693,89.691,243
68.622,89.32,232
68.553,88.955,248
68.483,88.591,232
68.414,88.227,224
68.344,87.863,240
68.274,87.496,218
68.205,87.131,225
68.135,86.767,226
68.066,86.402,208
67.996,86.038,221
67.926,85.673,207
67.857,85.307,206
67.787,84.942,215
67.717,84.572,196
67.647,84.207,212
67.577,83.839,195
67.507,83.475,191
67.438,83.111,206
67.368,82.747,185
67.299,82.383,197
67.228,82.012,188
67.158,81.647,182
67.088,81.279,194
67.014,80.892,179
66.939,80.498,185
66.858,80.072,176
66.771,79.617,180
66.685,79.163,189
66.589,78.664,182
66.491,78.15,169
66.392,77.63,184
66.289,77.092,174
66.181,76.524,179
66.078,75.984,165
65.975,75.444,180
65.878,74.936,175
65.787,74.458,167
65.701,74.005,184
65.618,73.572,167
65.537,73.148,181
65.455,72.716,182
65.373,72.288,168
65.295,71.88,175
65.217,71.472,171
65.143,71.085,183
65.072,70.713,170
65.003,70.348,177
64.933,69.983,183
64.864,69.618,168
64.793,69.246,182
64.723,68.881,180
64.654,68.517,171
64.584,68.153,185
64.514,67.788,176
64.445,67.424,175
64.375,67.059,189
64.306,66.695,177
64.236,66.33,184
64.167,65.966,193
64.095,65.589,198
64.024,65.215,189
63.954,64.851,196
63.88,64.461,197
63.804,64.066,188
63.727,63.662,207
63.647,63.242,193
63.566,62.816,199
63.484,62.386,198
63.393,61.91,203
63.303,61.44,199
63.208,60.94,216
63.108,60.413,198
63.003,59.867,213
62.895,59.301,212
62.788,58.736,197
62.68,58.171,215
62.568,57.587,208
62.457,57.001,200
62.342,56.401,220
62.226,55.791,201
62.109,55.179,214
61.767,53.388,222
61.477,51.866,199
61.203,50.428,227
61.132,50.06,204
61.063,49.696,219
60.993,49.331,227
60.915,48.97,2304
60.451,47.463,2500
60.316,47.058,2500
60.175,46.668,2272
60.022,46.274,2295
59.867,45.904,2489
59.67,45.463,2500
59.469,45.041,2500
59.234,44.576,2500
59.007,44.154,2274
58.72,43.649,2500
58.418,43.147,2406
58.067,42.594,2406
57.634,41.945,2500
57.128,41.225,2324
56.509,40.389,2442
55.818,39.502,2500
55.03,38.537,2305
54.2,37.571,2472
53.349,36.625,2500
52.483,35.709,2265
51.568,34.787,2500
50.694,33.947,2500
49.783,33.113,2500
48.788,32.247,2500
47.764,31.398,2256
46.658,30.524,2500
45.506,29.658,2500
44.283,28.696,2285
37.363,20.58,2500
31.419,8.863,2500
30.504,6.866,2479
29.693,4.886,2500
28.997,2.97,2500
28.29,1.214,2407
24.809,-4.604,2500
20.589,-9.587,2500
19.551,-10.724,2500
18.43,-11.862,2330
17.176,-13.044,2500
15.837,-14.213,2500
14.367,-15.404,2304
12.72,-16.639,2500
10.931,-17.877,2500
9.084,-19.199,2305
0.924,-25.971,2500
-5.861,-32.474,2500
-7.277,-33.889,2294
-11.163,-38.654,2500
-11.867,-39.556,2288
-12.474,-40.368,2500
-13.013,-41.121,2497
-13.523,-41.866,2317
-13.978,-42.562,2500
-14.426,-43.28,2224
-14.865,-44.017,2423
-15.271,-44.733,2212
-15.642,-45.421,2101
-15.99,-46.101,2361
-16.333,-46.805,2088
-16.666,-47.529,1988
-16.977,-48.243,2176
-17.269,-48.951,1851
-17.56,-49.705,1973
-17.838,-50.471,1989
-18.475,-52.969,2104
-18.593,-53.475,1991
-18.689,-53.928,2034
-18.764,-54.323,2326
-18.838,-54.756,2321
-18.913,-55.201,2333
-19.178,-56.764,2206
-19.246,-57.164,2500
-19.316,-57.575,2357
-19.385,-57.982,2251
-19.455,-58.397,2500
-19.527,-58.818,2329
-19.599,-59.243,2405
-19.672,-59.674,2500
-19.74,-60.077,2282
-19.804,-60.453,2500
-19.866,-60.818,2500
-19.927,-61.183,2308
-19.99,-61.549,2500
